City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,springbok,-29.6643,17.8865,15.64,71,7,2.3,ZA,1707334311
1,nueva esperanza,15.2667,-87.6,24.79,50,48,1.83,HN,1707334311
2,bilibino,68.0546,166.4372,-35.41,100,99,0.4,RU,1707334311
3,blackmans bay,-43.0167,147.3167,15.07,75,100,0.27,AU,1707334312
4,mulchen,-37.7167,-72.2333,28.92,22,89,3.56,CL,1707334312
5,stanley,54.868,-1.6985,0.85,85,82,2.35,GB,1707334124
6,minas de marcona,-15.2119,-75.1103,22.87,76,79,5.45,PE,1707334312
7,albany,42.6001,-73.9662,6.16,53,64,0.89,US,1707334202
8,shingu,33.7333,135.9833,3.92,72,91,2.31,JP,1707334312
9,tazacorte,28.629,-17.9293,21.75,30,0,2.68,ES,1707334312
10,qaqortoq,60.7167,-46.0333,-7.76,71,100,2.01,GL,1707334312
11,jumla,29.2747,82.1838,-1.55,51,0,1.86,NP,1707334312
12,port-aux-francais,-49.35,70.2167,4.49,82,96,12.17,TF,1707334312
13,guerrero negro,27.9769,-114.0611,17.81,52,7,8.54,MX,1707334312
14,margaret river,-33.95,115.0667,17.69,55,0,3.55,AU,1707334313
15,flying fish cove,-10.4217,105.6791,24.82,94,40,0.0,CX,1707334313
16,kudahuvadhoo,2.6708,72.8944,27.83,75,46,7.6,MV,1707334313
17,bredasdorp,-34.5322,20.0403,19.25,78,2,5.89,ZA,1707334313
18,usinsk,65.9939,57.5281,-13.29,92,100,4.47,RU,1707334313
19,adamstown,-25.066,-130.1015,24.79,84,100,5.51,PN,1707334313
20,wailua homesteads,22.0669,-159.378,23.75,69,0,8.75,US,1707334313
21,utrik,11.2278,169.8474,26.41,73,100,9.6,MH,1707334313
22,ankang,32.68,109.0172,2.61,77,97,1.06,CN,1707334313
23,ushuaia,-54.8,-68.3,14.79,62,75,15.95,AR,1707334151
24,iqaluit,63.7506,-68.5145,-20.15,59,75,1.54,CA,1707334314
25,hammerfest,70.6634,23.6821,-11.75,85,94,7.2,NO,1707334314
